[2026-06-20 09:26:42] [172.21.0.1] OK | test logu | 114 chars
[2026-06-20 09:27:21] [172.21.0.1] OK | Kdo je Big Boss? | 737 chars
[2026-06-20 09:27:28] [172.21.0.1] OK | Jaké je chronologické pořadí her? | 706 chars
[2026-06-20 09:27:36] [172.21.0.1] OK | Kde seženu MGS merchandise v ČR? | 172 chars
[2026-06-20 09:27:40] [172.21.0.1] OK | Jaký je rozdíl mezi Solid Snake a Naked Snake? | 860 chars
[2026-06-20 09:27:47] [172.21.0.1] OK | Kdo vyhral volby | 171 chars
[2026-06-20 09:28:56] [172.21.0.1] OK | Kdo je Big Boss? | Big Boss, původním jménem John (známý také jako Jack nebo Naked Snake), je jednou z nejdůležitějších postav celé série Metal Gear. Původně byl elitním agentem jednotky FOX a žákem legendární vojákyně The Boss. Po událostech operace Snake Eater v roce 1964, kdy byl nucen zabít svou mentorku, získal t
[2026-06-20 09:29:53] [172.21.0.1] OK | Jaké je chronologické pořadí her? | Chronologické pořadí příběhu série Metal Gear (podle událostí v herním světě) je následující:  1. **Metal Gear Solid 3: Snake Eater** (odehrává se v roce 1964) 2. **Metal Gear Solid: Portable Ops** (1970) 3. **Metal Gear Solid: Peace Walker** (1974) 4. **Metal Gear Solid V: Ground Zeroes** (1975) 5.
[2026-06-20 09:31:19] [172.21.0.1] JS_ERROR | Kdo je Snake? | TypeError: Failed to fetch
[2026-06-20 09:33:19] [172.21.0.1] OK | Co je to Patriots / Patrioti? | Patrioti (v originálu „The Patriots“, známí také jako „Cipher“) jsou v sérii Metal Gear Solid stěžejní, tajná a vysoce vlivná organizace, která postupem času ovládla Spojené státy a následně i globální politiku, ekonomiku a vojenské operace.  Zde jsou klíčové body, které o nich potřebuješ vědět:  * 
[2026-06-20 09:33:29] [172.21.0.1] OK | Jaké je chronologické pořadí her? | Chronologické pořadí příběhu série Metal Gear (podle událostí v herním světě) je následující:  1. **Metal Gear Solid 3: Snake Eater** (odehrává se v roce 1964) 2. **Metal Gear Solid: Portable Ops** (1970) 3. **Metal Gear Solid: Peace Walker** (1974) 4. **Metal Gear Solid V: Ground Zeroes** (1975) 5.
[2026-06-20 09:34:45] [172.21.0.1] OK | test po oprave cesty | Vše v pořádku, systém je připraven. Pokud máš jakékoliv dotazy k ději, postavám nebo historii série Metal Gear Solid, jsem tu pro tebe. O čem si chceš promluvit?
[2026-06-20 09:35:23] [172.21.0.1] OK | Jaké je chronologické pořadí her? | Chronologické pořadí příběhu série Metal Gear (podle událostí v herním světě) je následující:  1. **Metal Gear Solid 3: Snake Eater** (odehrává se v roce 1964) 2. **Metal Gear Solid: Portable Ops** (1970) 3. **Metal Gear Solid: Peace Walker** (1974) 4. **Metal Gear Solid V: Ground Zeroes** (1975) 5.
[2026-06-20 09:47:15] [172.21.0.1] ERROR | Kdo je Solid Snake? | gemini: Internal error encountered.
[2026-06-20 09:47:36] [172.21.0.1] OK | Kdo je Solid Snake? | Solid Snake (vlastním jménem David) je jedním z klonů vytvořených v rámci projektu "Les Enfants Terribles" z DNA legendárního vojáka Big Bosse. Je to elitní operativec, který se stal ústřední postavou série Metal Gear Solid.  Byl vycvičen v jednotce FOXHOUND, kde ho trénoval Kazuhira Miller. Během s
[2026-06-20 09:49:39] [172.21.0.1] OK | Jaké je chronologické pořadí her? | Chronologické pořadí příběhu série Metal Gear (podle událostí v herním světě) je následující:  1. **Metal Gear Solid 3: Snake Eater** (odehrává se v roce 1964) 2. **Metal Gear Solid: Portable Ops** (1970) 3. **Metal Gear Solid: Peace Walker** (1974) 4. **Metal Gear Solid V: Ground Zeroes** (1975) 5.
[2026-06-20 09:51:50] [172.21.0.1] ERROR | Kdo je Solid Snake? | gemini: Internal error encountered.
[2026-06-20 09:52:08] [172.21.0.1] OK | Kdo je Solid Snake? | Solid Snake je legendární voják a hlavní protagonista série Metal Gear Solid. Je to geneticky modifikovaný klon, vytvořený v rámci projektu "Les Enfants Terribles" z DNA legendárního vojáka Big Bosse.  V průběhu série se stal klíčovou postavou v boji proti hrozbám Metal Gearů. Působil v jednotce FOX
